Year,OC-21-01_depth(cm),OC-21-01_LOI,OC-21-01_porosity,OC-21-01_dbd,OC-21-01_elevNAVD88,OC-21-01_mean,OC-21-01_d5,OC-21-01_d50,OC-21-01_d95,OC-21-01_percentclay,OC-21-01_percentsilt,OC-21-01_percentsand,OC-21-01_MAR,OC-21-01_uMAR,OC-21-01_SAR,OC-21-01_uSAR,OC-21-02_depth(cm),OC-21-02_LOI,OC-21-02_porosity,OC-21-02_dbd,OC-21-02_elevNAVD88,OC-21-02_mean,OC-21-02_d5,OC-21-02_d50,OC-21-02_d95,OC-21-02_percentclay,OC-21-02_percentsilt,OC-21-02_percentsand,OC-21-02_MAR,OC-21-02_uMAR,OC-21-02_SAR,OC-21-02_uSAR,OC-21-03_depth(cm),OC-21-03_LOI,OC-21-03_porosity,OC-21-03_dbd,OC-21-03_elevNAVD88,OC-21-03_mean,OC-21-03_d5,OC-21-03_d50,OC-21-03_d95,OC-21-03_percentclay,OC-21-03_percentsilt,OC-21-03_percentsand,OC-21-03_MAR,OC-21-03_uMAR,OC-21-03_SAR,OC-21-03_uSAR,meanmsl,stdmsl,meanlineartrend,stdlineartrend,OC-21-01_distance,OC-21-02_distance,OC-21-03_distance,MHWhistorical,MLWhistorical,OC-21-01_position,OC-21-02_position,OC-21-03_position,OC-21-01_inundationfraction,OC-21-02_inundationfraction,OC-21-03_inundationfraction,agriculture,developed,forest,clearedforest,waterintertidal
1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48209628590913,,0.871453023823555,0.34064948571810183,,,,,,,,,0.021100186448852403,0.033765401874527916,0.061950758524432936,0.0990034444223022,,,,,,,,,,,,,,,,,,,,
1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.43620832576318,,0.8714581337189069,0.3406359445012619,,,,,,,,,0.021102282066532377,0.03167706117435187,0.06195928953173538,0.09262940501959147,,,,,,,,,,,,,,,,,,,,
1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.38862841281124,,0.8714689406479255,0.34060730615163626,,,,,,,,,0.02110671653333029,0.02965727020585892,0.06197735679407736,0.08652324868756732,,,,,,,,,,,,,,,,,,,,
1831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.33941339799282,,0.8714854715439816,0.34056349929573215,,,,,,,,,0.02111350359393188,0.027713287726670838,0.06200503294529361,0.08069963639139739,,,,,,,,,,,,,,,,,,,,
1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.28862013224745,,0.8715077533404458,0.340504452560057,,,,,,,,,0.02112265699302288,0.025852372494409408,0.06204239061921889,0.07517322909624925,,,,,,,,,,,,,,,,,,,,
1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2363054665147,,0.8715358129706888,0.34043009457111806,,,,,,,,,0.021134190475289014,0.024081783266696397,0.06208950244968793,0.06995868776729053,,,,,,,,,,,,,,,,,,,,
1834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.18252625173406,,0.8715696773680813,0.34034035395542256,,,,,,,,,0.021148117785416014,0.022408778801153585,0.062146441070535484,0.06507067336968882,,,,,,,,,,,,,,,,,,,,
1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.12733933884508,,0.871609373465994,0.3402351593394778,,,,,,,,,0.021164452668089626,0.020840617855402747,0.06221327911559631,0.060523846868611716,,,,,,,,,,,,,,,,,,,,
1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0708015787873,,0.8716549281977976,0.34011443934979113,,,,,,,,,0.02118320886799557,0.019384559187065654,0.06229008921870513,0.05633286922922684,,,,,,,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.012969822500224,,0.8717063684968624,0.3399781226128698,,,,,,,,,0.021204400129819587,0.01804786155376408,0.062376944013696714,0.05251240141670178,,,,,,,,,,,,,,,,,,,,
1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.95390092092341,,0.8717637212965597,0.3398261377552211,,,,,,,,,0.021228040198247408,0.01683778371311981,0.06247391613440579,0.04907710439620412,,,,,,,,,,,,,,,,,,,,
1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.893651724996374,,0.8718270135302597,0.3396584134033523,,,,,,,,,0.02125414281796476,0.01576158442275461,0.06258107821466712,0.04604163913290152,,,,,,,,,,,,,,,,,,,,
